corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
01310269,HDC현대산업개발,294870,20220321,사업보고서 (2021.12),2021.12,"5,894.68",-,-,-,-,5894.68,,,,
01310269,HDC현대산업개발,294870,20220518,[기재정정]분기보고서 (2022.03),2022.03,"5,611.39",-283.29,-4.81%,-,-,5611.39,-283.28999999999996,-4.805858842210265,,
01310269,HDC현대산업개발,294870,20220816,반기보고서 (2022.06),2022.06,"5,524.28",-87.11,-1.55%,-,-,5524.28,-87.11000000000058,-1.5523782877326364,,
01310269,HDC현대산업개발,294870,20221114,분기보고서 (2022.09),2022.09,"221,518.94","+215,994.66","+3,909.92%",-,-,221518.94,215994.66,3909.915138262362,,
01310269,HDC현대산업개발,294870,20230713,[기재정정]사업보고서 (2022.12),2022.12,"207,347.59","-14,171.35",-6.40%,"+201,452.91","+3,417.54%",207347.59,-14171.350000000006,-6.397353652920157,201452.91,3417.537678041895
01310269,HDC현대산업개발,294870,20230515,분기보고서 (2023.03),2023.03,"200,372.58","-6,975.01",-3.36%,"+194,761.19","+3,470.82%",200372.58,-6975.010000000009,-3.363921422959393,194761.18999999997,3470.8189949370826
01310269,HDC현대산업개발,294870,20230811,반기보고서 (2023.06),2023.06,"198,249.21","-2,123.37",-1.06%,"+192,724.93","+3,488.69%",198249.21,-2123.3699999999953,-1.059710864630281,192724.93,3488.688661689849
01310269,HDC현대산업개발,294870,20231114,분기보고서 (2023.09),2023.09,"195,056.83","-3,192.38",-1.61%,"-26,462.11",-11.95%,195056.83,-3192.3800000000047,-1.6102863663365996,-26462.110000000015,-11.945755067264233
01310269,HDC현대산업개발,294870,20240401,[기재정정]사업보고서 (2023.12),2023.12,"214,805.24","+19,748.41",+10.12%,"+7,457.65",+3.60%,214805.24,19748.410000000003,10.12443911858918,7457.649999999994,3.596689983230571
01310269,HDC현대산업개발,294870,20240516,분기보고서 (2024.03),2024.03,"208,705.98","-6,099.26",-2.84%,"+8,333.4",+4.16%,208705.98,-6099.25999999998,-2.839437250227217,8333.400000000023,4.158952287783101
01310269,HDC현대산업개발,294870,20240814,반기보고서 (2024.06),2024.06,"195,652.07","-13,053.91",-6.25%,"-2,597.14",-1.31%,195652.07,-13053.910000000003,-6.254689012744152,-2597.139999999985,-1.3100380072132367
01310269,HDC현대산업개발,294870,20241114,분기보고서 (2024.09),2024.09,"192,159.68","-3,492.39",-1.79%,"-2,897.15",-1.49%,192159.68,-3492.390000000014,-1.785000281366822,-2897.149999999994,-1.4852850833267384
01310269,HDC현대산업개발,294870,20250812,[기재정정]사업보고서 (2024.12),2024.12,"199,429.7","+7,270.02",+3.78%,"-15,375.54",-7.16%,199429.7,7270.020000000019,3.7833222869646743,-15375.539999999979,-7.1578980103092364
01310269,HDC현대산업개발,294870,20250515,분기보고서 (2025.03),2025.03,"195,284.98","-4,144.72",-2.08%,"-13,421",-6.43%,195284.98,-4144.720000000001,-2.078286233193949,-13421.0,-6.430577600124347
01310269,HDC현대산업개발,294870,20250812,반기보고서 (2025.06),2025.06,"194,724.15",-560.83,-0.29%,-927.92,-0.47%,194724.15,-560.8300000000163,-0.2871854251156547,-927.9200000000128,-0.4742704741125472
01310269,HDC현대산업개발,294870,20251114,분기보고서 (2025.09),2025.09,"206,615.44","+11,891.29",+6.11%,"+14,455.76",+7.52%,206615.44,11891.290000000008,6.106736118760825,14455.76000000001,7.522785216961232
01310269,HDC현대산업개발,294870,20260318,사업보고서 (2025.12),2025.12,"209,550.39","+2,934.95",+1.42%,"+10,120.69",+5.07%,209550.39,2934.9500000000116,1.4204891948055742,10120.690000000002,5.074815837360234
