corp_code,corp_name,stock_code,filing_date,report_name,report_period,amount_display,change_display,change_pct_display,yoy_change_display,yoy_change_pct_display,amount_eok,change_eok,change_pct,yoy_change_eok,yoy_change_pct
00164636,HDC,012630,20220321,사업보고서 (2021.12),2021.12,0.01,-,-,-,-,0.00589468,,,,
00164636,HDC,012630,20220516,분기보고서 (2022.03),2022.03,0.01,-0,-4.81%,-,-,0.00561139,-0.0002832900000000003,-4.805858842210265,,
00164636,HDC,012630,20220816,반기보고서 (2022.06),2022.06,0.01,-0,-1.55%,-,-,0.00552428,-8.710999999999962e-05,-1.5523782877326253,,
00164636,HDC,012630,20221114,분기보고서 (2022.09),2022.09,0.01,+0,+51.42%,-,-,0.00836466,0.002840379999999999,51.41629316399601,,
00164636,HDC,012630,20230316,사업보고서 (2022.12),2022.12,0.01,-0,-0.37%,+0,+41.38%,0.00833412,-3.053999999999904e-05,-0.36510748793135983,0.00243944,41.38375620050622
00164636,HDC,012630,20230515,분기보고서 (2023.03),2023.03,0.01,-0,-0.39%,+0,+47.94%,0.00830166,-3.245999999999978e-05,-0.3894832327828279,0.0026902700000000007,47.94302302994446
00164636,HDC,012630,20230814,반기보고서 (2023.06),2023.06,"198,249.21","+198,249.2","+2,388,066,985.38%","+198,249.2","+3,588,688,561.69%",198249.21,198249.20169833998,2388066985.3781047,198249.20447572,3588688561.6898494
00164636,HDC,012630,20231114,분기보고서 (2023.09),2023.09,"195,056.83","-3,192.38",-1.61%,"+195,056.82","+2,331,915,722.04%",195056.83,-3192.3800000000047,-1.6102863663365996,195056.82163534,2331915722.0417805
00164636,HDC,012630,20240321,[기재정정]사업보고서 (2023.12),2023.12,"214,805.24","+19,748.41",+10.12%,"+214,805.23","+2,577,419,471.59%",214805.24,19748.410000000003,10.12443911858918,214805.23166587998,2577419471.592441
00164636,HDC,012630,20240516,분기보고서 (2024.03),2024.03,"208,705.98","-6,099.26",-2.84%,"+208,705.97","+2,514,026,974.10%",208705.98,-6099.25999999998,-2.839437250227217,208705.97169834,2514026974.1032515
00164636,HDC,012630,20240814,반기보고서 (2024.06),2024.06,"195,652.07","-13,053.91",-6.25%,"-2,597.14",-1.31%,195652.07,-13053.910000000003,-6.254689012744152,-2597.139999999985,-1.3100380072132367
00164636,HDC,012630,20241114,분기보고서 (2024.09),2024.09,"192,159.68","-3,492.39",-1.79%,"-2,897.15",-1.49%,192159.68,-3492.390000000014,-1.785000281366822,-2897.149999999994,-1.4852850833267384
00164636,HDC,012630,20250812,[기재정정]사업보고서 (2024.12),2024.12,"199,429.7","+7,270.02",+3.78%,"-15,375.54",-7.16%,199429.7,7270.020000000019,3.7833222869646743,-15375.539999999979,-7.1578980103092364
00164636,HDC,012630,20250515,분기보고서 (2025.03),2025.03,"195,284.98","-4,144.72",-2.08%,"-13,421",-6.43%,195284.98,-4144.720000000001,-2.078286233193949,-13421.0,-6.430577600124347
00164636,HDC,012630,20250812,반기보고서 (2025.06),2025.06,"194,724.15",-560.83,-0.29%,-927.92,-0.47%,194724.15,-560.8300000000163,-0.2871854251156547,-927.9200000000128,-0.4742704741125472
00164636,HDC,012630,20251114,분기보고서 (2025.09),2025.09,"206,615.44","+11,891.29",+6.11%,"+14,455.76",+7.52%,206615.44,11891.290000000008,6.106736118760825,14455.76000000001,7.522785216961232
00164636,HDC,012630,20260318,사업보고서 (2025.12),2025.12,"209,550.39","+2,934.95",+1.42%,"+10,120.69",+5.07%,209550.39,2934.9500000000116,1.4204891948055742,10120.690000000002,5.074815837360234
